  SITE      DAY     MONTH    YEAR     RMILE   STATION  LB.DIST   DEPTH   MEANVEL    QW      CONC      QS      LOAD     TEMP      DO       PH      COND     TURB    SECCHI     TOC      CO3      DOC      POC      TUN      TFN      NO2
M372.8         21        3       85    372.8        2     1275     2.18    0.387  3689.73       93  976.126  34760.9        7     10.6      -99      270      368       22     21.7     36.7     18.1      3.6      3.9      3.8     0.14
M372.8         21        3       85    372.8        4     1002     3.85    0.424  3689.73       96  1949.63  34760.9      5.5     10.8      -99      260      400       22     15.3     36.2     10.4      4.9      3.7      3.6     0.14
M372.8         21        3       85    372.8        6      710      4.6    0.558  3689.73       98  3129.49  34760.9      5.5       11      -99      240      432       24     13.7     34.5      9.4      4.3      3.3      3.2     0.14
M372.8         21        3       85    372.8        8      420     7.15    0.645  3689.73      112  6425.97  34760.9      5.5     10.8      -99      225      448      -99     12.5     31.8      8.7      3.8      3.2      3.1     0.14
M372.8         21        3       85    372.8       10      135     7.22    0.598  3689.73      116  6230.91  34760.9        6     10.4      -99      250      656      -99     12.8       33      8.5      4.3      3.8      3.6     0.14
M372.8         11        6       85    372.8        1      155     0.91    0.118  1757.33    47.95  64.0569  5610.36       21      4.2      7.6      370       35       26     19.6     36.5     16.5      3.1      1.6      1.5      0.1
M372.8         11        6       85    372.8        3      440     3.27    0.212  1757.33    47.95  413.549  5610.36       21      4.6      7.6      375       29     45.7     18.7     36.3     16.5      2.2      1.5      1.4     0.08
M372.8         11        6       85    372.8        4      580     3.59    0.243  1757.33    23.72  257.437  5610.36       21        5      7.6      365       29     53.3     18.1     36.2     15.6      2.5      1.5      1.4     0.08
M372.8         11        6       85    372.8        6      870     4.59    0.278  1757.33    37.74  599.122  5610.36       21      5.4      7.7      330       35     44.5     17.8     35.3     15.9      1.9      1.4      1.3     0.07
M372.8         11        6       85    372.8        9     1300     7.56    0.288  1757.33    29.23  791.769  5610.36       20      5.8      7.9      325       29     36.8     17.2     33.6       15      2.2      1.4      1.3     0.07
M373.5         22        3       85    373.5        2      250     0.52    0.043   3056.4       87  53.0915  27610.8        6       11      -99      270      176       25     14.1     37.1     11.4      2.7      3.9      3.9     0.13
M373.5         22        3       85    373.5        4      500     0.72     0.23   3056.4       87  159.561  27610.8        6       11      -99      255      192       27     14.1     36.6       12      2.1      3.8      3.8     0.13
M373.5         22        3       85    373.5        6      765     6.58     0.73   3056.4       99  5266.62  27610.8      5.5     10.2      -99      250      240       26     16.4     34.9     11.7      4.7      3.4      3.3     0.14
M373.5         22        3       85    373.5        8      968     6.85    0.814   3056.4      105  6484.13  27610.8      5.5     10.5      -99      220      224       27     13.2     31.7      9.3      3.9      3.1        3     0.14
M373.5         22        3       85    373.5       10     1328     1.81    0.601   3056.4      106  1277.05  27610.8        6     10.2      -99      250      336       25     12.7     32.6      8.2      4.5      3.7      3.5     0.14
M373.5         12        6       85    373.5        4      490     0.49    0.076  1650.53       33  13.6104  3807.47       20      5.6      7.8      355      -99     35.6       17     36.5     14.7      2.3      1.6      1.6     0.04
M373.5         12        6       85    373.5        5      630     0.82    0.133  1650.53       33  39.8591  3807.47       20      5.4      7.7      355     20.5     58.4     17.3     36.6     14.1      3.2      1.6      1.5     0.04
M373.5         12        6       85    373.5       10     1315     5.92    0.443  1650.53     18.9  548.953  3807.47       20      3.8      7.9      330       16     63.5     16.7     33.5     15.2      1.5      1.4      1.4     0.04
M373.5         27        8       85    373.5        4      490     0.52        0  1433.37    17.41        0  1535.41       23      -99      8.6      340       19       52     21.4     32.9     19.4        2     0.89     0.83     0.03
M373.5         27        8       85    373.5        5      655     4.81    0.176  1433.37    17.41  163.232  1535.41       23      -99      8.1      330       14       59     21.9     32.8     20.2      1.7        1        1     0.03
